%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1761396910512249348,17058,1761396910511323641,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910531754816,17059,1761396910531351898,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910551965549,17060,1761396910551316291,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910571863334,17061,1761396910571353867,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910591843954,17062,1761396910591378169,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910611997976,17063,1761396910611387004,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910631978249,17064,1761396910631383074,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910651897932,17065,1761396910651387674,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910672883669,17066,1761396910671330695,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910691966497,17067,1761396910691389995,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910712260578,17068,1761396910711322426,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910732164627,17069,1761396910731331236,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910751982188,17070,1761396910751337076,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910772802852,17071,1761396910771402146,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910792465711,17072,1761396910791394275,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910812308448,17073,1761396910811336284,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910832345304,17074,1761396910831377922,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910852263661,17075,1761396910851323199,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910872159568,17076,1761396910871384640,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910892391287,17077,1761396910891377950,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910911999537,17078,1761396910911333195,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910931961070,17079,1761396910931377036,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910952347591,17080,1761396910951387207,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910972102572,17081,1761396910971384837,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396910992205296,17082,1761396910991393668,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911012259474,17083,1761396911011384209,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911032425096,17084,1761396911031384153,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911051878421,17085,1761396911051389102,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911071809584,17086,1761396911071330317,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911092360249,17087,1761396911091403914,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911112299542,17088,1761396911111384700,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911131917280,17089,1761396911131383565,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911152051699,17090,1761396911151387069,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911171986344,17091,1761396911171383475,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911192422793,17092,1761396911191390138,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911212280694,17093,1761396911211336636,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911232089553,17094,1761396911231387421,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
